,0
HOUR_02_CLOSE_HIGHER_THAN_07,0.0026605931220918255
current_xinfo_low,0.00265632302851819
HOUR_15_CLOSE_HIGHER_THAN_16,0.0026343787358829645
RSI_30_MINUS_1_HOUR,0.0026276985145643763
HOUR_05_CLOSE_HIGHER_THAN_10,0.0026054951390044917
latest_hour_low,0.0026010410248194665
same_signal_in_last_24_hours,0.0025860097756233015
current_xinfo_averagePrice,0.002579458992442407
HOUR_09_CLOSE_HIGHER_THAN_10,0.0025744885325597877
DEMA_15_MINUS_1_HOUR,0.002568565238969754
HOUR_11_CLOSE_HIGHER_THAN_12,0.002567196379773008
HOUR_04_CLOSE_HIGHER_THAN_09,0.00255457301009132
WILLR_30_MINUS_3_HOUR,0.0025523251916519728
HOUR_08_CLOSE_HIGHER_THAN_13,0.0025452177236726108
DEMA_30_MINUS_1_HOUR,0.0025439505713891436
history_statsMap_-7_days_avg1HourVolume,0.002541434949824213
WILLR_30_MINUS_0_HOUR,0.002541133878134712
EMA_40_MINUS_0_HOUR,0.002540594503778897
DEMA_30_MINUS_0_HOUR,0.0025376975249460526
RSI_15_MINUS_8_HOUR,0.0025157806729459876
RSI_15_MINUS_7_HOUR,0.0025147219653275064
RSI_15_MINUS_5_HOUR,0.0025144889693272375
RSI_15_MINUS_6_HOUR,0.0025109507044858343
HOUR_07_CLOSE_HIGHER_THAN_12,0.002509111279035157
WILLR_30_MINUS_4_HOUR,0.0025037015581116893
DEMA_15_MINUS_0_HOUR,0.0025029558296507316
current_hour_bars_01_volume,0.0025020276708137322
EMA_40_MINUS_1_HOUR,0.0024854571051741363
HOUR_16_CLOSE_HIGHER_THAN_17,0.0024815162711419804
current_hour_bars_01_close,0.0024676938649995876
current_lastMinutelyBar_volume,0.0024670707702463797
EMA_20_MINUS_1_HOUR,0.002456743679726358
history_statsMap_-28_days_close,0.0024555098262292684
history_statsMap_-28_days_avg1HourVolume,0.002454513352619011
history_statsMap_-20_days_avg1HourVolume,0.0024460104039383244
HOUR_14_CLOSE_HIGHER_THAN_15,0.0024330663300125796
HOUR_10_CLOSE_HIGHER_THAN_15,0.002423602725753608
HOUR_12_CLOSE_HIGHER_THAN_13,0.002423484126304778
HOUR_09_CLOSE_HIGHER_THAN_14,0.0024226797169206392
HOUR_17_CLOSE_HIGHER_THAN_18,0.002420459520272582
EMA_20_MINUS_0_HOUR,0.002418872261875769
history_statsMap_-14_days_avg1HourVolume,0.0024186277604986216
RSI_30_MINUS_2_HOUR,0.002416742450765046
history_statsMap_-6_hours_avg1HourVolume,0.002399654031801682
RSI_15_MINUS_9_HOUR,0.002396512607206324
history_statsMap_-3_days_avg1HourVolume,0.002392502479225453
HOUR_03_CLOSE_HIGHER_THAN_08,0.002389553602879889
history_statsMap_-5_days_avg1HourVolume,0.0023881994926685
EMA_40_MINUS_3_HOUR,0.0023789845931228674
LATEST_HOUR_CLOSE_HIGHER_THAN_05,0.002378371986197969
history_statsMap_-24_hours_avg1HourVolume,0.0023757433513943945
history_statsMap_-10_days_avg1HourVolume,0.002374654902120367
HOUR_06_CLOSE_HIGHER_THAN_11,0.002366572769332559
HOUR_13_CLOSE_HIGHER_THAN_14,0.002356662104517024
HOUR_11_CLOSE_HIGHER_THAN_16,0.0023542063907142914
EMA_20_MINUS_6_HOUR,0.002353840578782535
current_hour_bars_02_close,0.0023521471480860735
HOUR_03_CLOSE_HIGHER_THAN_13,0.0023513397813870146
RAPO_MINUS_0_HOUR,0.0023498603034432905
RSI_30_MINUS_3_HOUR,0.0023435377228743725
HOUR_04_CLOSE_HIGHER_THAN_14,0.002338603290279172
history_statsMap_-12_hours_avg1HourVolume,0.0023377798174131358
HOUR_19_CLOSE_HIGHER_THAN_20,0.002317428889415903
RSI_30_MINUS_4_HOUR,0.0023134717600918823
HOUR_02_CLOSE_HIGHER_THAN_12,0.0023119423345359207
HOUR_26_CLOSE_HIGHER_THAN_27,0.0023084462845000806
RAPO_MINUS_2_HOUR,0.002307227856815997
HOUR_24_CLOSE_HIGHER_THAN_25,0.0023058781868092147
DEMA_30_MINUS_4_HOUR,0.002305105041985334
HOUR_01_CLOSE_HIGHER_THAN_06,0.002286563136523753
EMA_20_MINUS_4_HOUR,0.002282561928528421
EMA_40_MINUS_4_HOUR,0.0022818427067491744
DEMA_15_MINUS_4_HOUR,0.0022803206005417606
EMA_20_MINUS_8_HOUR,0.0022775731120470667
HOUR_25_CLOSE_HIGHER_THAN_26,0.002268993664826997
RAPO_MINUS_1_HOUR,0.0022665947684606842
current_hour_bars_06_volume,0.0022485131356239237
RAPO_MINUS_7_HOUR,0.0022377162127234975
HOUR_18_CLOSE_HIGHER_THAN_19,0.0022326315367559336
current_hour_bars_02_volume,0.0022314907295603297
DEMA_30_MINUS_2_HOUR,0.002230567361262873
DEMA_30_MINUS_3_HOUR,0.002228038726824257
EMA_40_MINUS_2_HOUR,0.002224561392958787
HOUR_28_CLOSE_HIGHER_THAN_29,0.0022238572418695076
EMA_20_MINUS_7_HOUR,0.002220472556928064
current_hour_bars_03_volume,0.0022179463329675226
HOUR_45_CLOSE_HIGHER_THAN_46,0.0022171772502816837
current_hour_bars_03_close,0.002216450865969821
DEMA_15_MINUS_2_HOUR,0.0022125607372485826
current_hour_bars_05_close,0.002208645906780782
DEMA_15_MINUS_5_HOUR,0.002207593215089815
RAPO_MINUS_8_HOUR,0.0022038982495460016
HOUR_06_CLOSE_HIGHER_THAN_16,0.0022032574593334377
RAPO_MINUS_4_HOUR,0.0022011876471367854
HOUR_20_CLOSE_HIGHER_THAN_21,0.002200130694315555
current_hour_bars_04_close,0.0021944636523068563
RAPO_MINUS_3_HOUR,0.0021931159937181623
current_hour_bars_07_close,0.0021882546936121535
RAPO_MINUS_6_HOUR,0.002186307682489624
DEMA_15_MINUS_3_HOUR,0.002182426422476093
HOUR_17_CLOSE_HIGHER_THAN_22,0.002181958276993046
HOUR_27_CLOSE_HIGHER_THAN_28,0.0021777634589064047
current_hour_bars_06_close,0.0021757142577290864
current_hour_bars_09_close,0.0021753103539807694
HOUR_12_CLOSE_HIGHER_THAN_17,0.002172272807572554
HOUR_30_CLOSE_HIGHER_THAN_31,0.002170225966057177
same_signal_profit_in_last_3_hours,0.0021692573905626096
EMA_20_MINUS_2_HOUR,0.0021672110180027014
EMA_20_MINUS_3_HOUR,0.0021665617500627133
EMA_20_MINUS_5_HOUR,0.0021659851749406566
HOUR_23_CLOSE_HIGHER_THAN_28,0.002157727449852535
HOUR_20_CLOSE_HIGHER_THAN_25,0.0021530864477900613
RAPO_MINUS_5_HOUR,0.002150668332695938
current_hour_bars_04_volume,0.002149272256719272
HOUR_23_CLOSE_HIGHER_THAN_24,0.0021492197595998786
HOUR_13_CLOSE_HIGHER_THAN_18,0.0021487897862089763
DEMA_15_MINUS_7_HOUR,0.0021427224804745136
HOUR_05_CLOSE_HIGHER_THAN_15,0.002141431846828672
HOUR_14_CLOSE_HIGHER_THAN_19,0.002139750368364029
HOUR_29_CLOSE_HIGHER_THAN_30,0.002138512838198311
RAPO_MINUS_9_HOUR,0.0021307282033724796
current_hour_bars_08_close,0.0021265792259153628
